Forgive Tom.	টমকে ক্ষমা করে দাও।
Grab my hand.	আমার হাতটা ধরো।
He got angry.	সে রেগে গেছিলো।
He got angry.	তিনি রেগে গেছিলেন।
He got angry.	উনি রেগে গেছিলেন।
He got angry.	ইনি রেগে গেছিলেন।
He got angry.	ও রেগে গেছিলো।
He is eating.	উনি খাচ্ছেন।
He is eating.	তিনি খাচ্ছেন।
He is eating.	সে খাচ্ছে।
He is eating.	ও খাচ্ছে।
Hold my hand.	আমার হাতটা ধরুন।
Hold my hand.	আমার হাতটা ধরো।
I don't care.	আমি পরোয়া করি না।
I don't know.	আমি জানি না।
I drink beer.	আমি বিয়ার খাই।
I teach here.	আমি এখানে পড়াই।
I understand.	আমি বুঝি।
I was amazed.	আমি অবাক হয়ে গেছিলাম।
I will fight.	আমি লড়বো।
I won't come.	আমি আসবো না।
I won't lose!	আমি হারবো না।
I'll be late.	আমার দেরী হবে।
I'm a doctor.	আমি ডাক্তার।
I'm a doctor.	আমি একজন ডাক্তার।
I'm pregnant.	আমি গর্ভবতী।
I'm speaking.	আমি কথা বলছি।
I'm too busy.	আমি খুব ব্যস্থ আছি।
I've seen it.	আমি এটা দেখেছি।
I've seen it.	আমি ওটা দেখেছি।
Is Tom there?	টম কি ওখানে আছে?
It's too low.	খুব নিচু।
It's too low.	এটা খুব নিচু।
Let go of me.	আমাকে ছেড়ে দিন।
Let go of me.	আমাকে ছেড়ে দাও।
Let me speak.	আমাকে বলতে দাও।
Let me speak.	আমাকে কথা বলতে দাও।
Let me speak.	আমাকে বলতে দিন।
Let me speak.	আমাকে কথা বলতে দিন।
Let's review.	পুনর্বিচার করা যাক।
My arm hurts.	আমার হাত ব্যাথা করছে।
My feet hurt.	আমার পা ব্যাথা করছে।
My hip hurts.	আমার কোমর ব্যাথা করছে।
My jaw hurts.	আমার মারি ব্যাথা করছে।
Now fix that.	এবার ওটা ঠিক করো।
Now fix that.	এবার ওটা ঠিক করুন।
Please hurry.	একটু তারাতারি করুন।
Please hurry.	একটু তারাতারি করো।
Someone came.	কেউ একজন এসেছিলেন।
Someone came.	কেউ এসেছিলো।
Stay at home.	বাড়িতেই থাকুন।
Stay at home.	বাড়িতে থাকো।
Step outside.	বাইরে আসো।
Step outside.	বাইরে আসুন।
Stop yelling.	চিৎকার করা বন্ধ করো।
Stop yelling.	চিৎকার করা বন্ধ করুন।
Stop yelling.	চেঁচানো বন্ধ করুন।
Stop yelling.	চেঁচানো বন্ধ করো।
That is mine.	ওটা আমার।
This is mine.	এটা আমার।
Tom has died.	টম মারা গেছে।
Tom has time.	টমের হাতে সময় আছে।
Tom is there.	টম ওখানে আছে।
Tom is tired.	টম ক্লান্ত।
Tom listened.	টম শুনলো।
Tom loves me.	টম আমাকে ভালোবাসে।
Tom saw them.	টম তাদের দেখলো।
Tom saw them.	টম ওদের দেখলো।
Tom saw them.	টম ওনাদের দেখলো।
Tom screamed.	টম চিৎকার করলো।
Tom screamed.	টম চেঁচালো।
Tom wants me.	টমের আমাকে চায়।
Tom'll speak.	টম কথা বলবে।
Tom's coming.	টম আসছে।
Tom's crying.	টম কাঁদছে।
Tom's famous.	টম বিখ্যাত।
Tom's strong.	টম শক্তিশালী।
Unbelievable!	অবিশ্বাস্য!
Wait outside.	বাইরে অপেক্ষা করুন।
Wait outside.	বাইরে অপেক্ষা করো।
Was Tom here?	টম কি এখানে ছিলো?
We apologize.	আমরা ক্ষমা চাইছি।
We are Arabs.	আমরা আরব।
We live here.	আমরা এখানে থাকি।
We sat there.	আমরা ওখানে বসেছিলাম।
We'll scream.	আমরা চিৎকার করবো।
We'll scream.	আমরা চেঁচাবো।
My neck hurts.	আমার ঘাড় ব্যাথা করছে।
No, thank you.	না, ধন্যবাদ।
See you later.	আবার পরে দেখা হবে।
See you there.	ওখানে দেখা হবে।
Send me there.	আমাকে ওখানে পাঠান।
She got angry.	সে রেগে গেছিলো।
She is eating.	উনি খাচ্ছেন।
She's my wife.	ও আমার স্ত্রী।
Somebody came.	কেউ একজন এসেছিলেন।
Speak clearly.	পরিষ্কার করে বলুন।
Stop shouting.	চিৎকার করা বন্ধ করো।
Take us there.	আমাদের ওখানে নিয়ে চলুন।
That's my cat.	ওটা আমার বিড়াল।
They screamed.	তারা চিৎকার করলো।
Tom came here.	টম এখানে এলো।
Tom got angry.	টম রেগে গেছিলো।
Tom hesitated.	টম ইতস্তত করলো।
Tom is inside.	টম ভেতরে।
